Date,YAHOO/INDEX_SPY - Adjusted Close
1993-01-29,28.308155
1993-02-01,28.509494
1993-02-02,28.569863
1993-02-03,28.871902
1993-02-04,28.992705
1993-02-05,28.97254
1993-02-08,28.97254
1993-02-09,28.771201
1993-02-10,28.811469
1993-02-11,28.952438
1993-02-12,28.730934
1993-02-16,28.006116
1993-02-17,27.986014
1993-02-18,27.965848
1993-02-19,28.066549
1993-02-22,28.167187
1993-02-23,28.147085
1993-02-24,28.509494
1993-02-25,28.569863
1993-02-26,28.610131
1993-03-01,28.529595
1993-03-02,28.952438
1993-03-03,29.073241
1993-03-04,28.91217
1993-03-05,28.831635
1993-03-08,29.475917
1993-03-09,29.375216
1993-03-10,29.435649
1993-03-11,29.355114
1993-03-12,29.053075
1993-03-15,29.194044
1993-03-16,29.194044
1993-03-17,29.012807
1993-03-18,29.194044
1993-03-19,29.149832
1993-03-22,28.988
1993-03-23,29.048719
1993-03-24,29.048719
1993-03-25,29.230747
1993-03-26,29.068916
1993-03-29,29.190289
1993-03-30,29.271205
1993-03-31,29.251008
1993-04-01,29.149832
1993-04-02,28.542964
1993-04-05,28.684599
1993-04-06,28.603683
1993-04-07,28.704796
1993-04-08,28.664338
1993-04-12,29.068916
1993-04-13,29.129635
1993-04-14,29.089177
1993-04-15,29.089177
1993-04-16,29.089177
1993-04-19,28.967803
1993-04-20,28.826169
1993-04-21,28.805972
1993-04-22,28.441852
1993-04-23,28.320478
1993-04-26,28.097928
1993-04-27,28.401394
1993-04-28,28.340675
1993-04-29,28.462049
1993-04-30,28.502506
1993-05-03,28.684599
1993-05-04,28.785711
1993-05-05,28.866627
1993-05-06,28.765514
1993-05-07,28.704796
1993-05-10,28.765514
1993-05-11,28.886888
1993-05-12,28.84643
1993-05-13,28.502506
1993-05-14,28.48231
1993-05-17,28.583422
1993-05-18,28.563225
1993-05-19,29.149832
1993-05-20,29.230747
1993-05-21,28.967803
1993-05-24,29.089177
1993-05-25,29.149832
1993-05-26,29.513952
1993-05-27,29.41284
1993-05-28,29.271205
1993-06-01,29.55441
1993-06-02,29.513952
1993-06-03,29.41284
1993-06-04,29.311663
1993-06-07,29.21055
1993-06-08,28.947542
1993-06-09,29.048719
1993-06-10,29.068916
1993-06-11,29.190289
1993-06-14,29.149832
1993-06-15,29.089177
1993-06-16,29.149832
1993-06-17,29.251008
1993-06-18,29.010125
1993-06-21,29.07121
1993-06-22,29.091614
1993-06-23,28.826742
1993-06-24,29.213848
1993-06-25,29.193443
1993-06-28,29.5194
1993-06-29,29.376826
1993-06-30,29.376826
1993-07-01,29.295337
1993-07-02,29.132359
1993-07-06,28.826742
1993-07-07,28.908232
1993-07-08,29.234188
1993-07-09,29.315677
1993-07-12,29.295337
1993-07-13,29.274933
1993-07-14,29.376826
1993-07-15,29.254593
1993-07-16,29.173104
1993-07-19,29.152699
1993-07-20,29.234188
1993-07-21,29.213848
1993-07-22,29.010125
1993-07-23,29.152699
1993-07-26,29.315677
1993-07-27,29.295337
1993-07-28,29.234188
1993-07-29,29.397166
1993-07-30,29.234188
1993-08-02,29.315677
1993-08-03,29.336082
1993-08-04,29.336082
1993-08-05,29.274933
1993-08-06,29.315677
1993-08-09,29.478655
1993-08-10,29.458315
1993-08-11,29.458315
1993-08-12,29.376826
1993-08-13,29.417571
1993-08-16,29.580549
1993-08-17,29.682378
1993-08-18,29.845356
1993-08-19,29.845356
1993-08-20,29.865761
1993-08-23,29.804612
1993-08-24,30.130568
1993-08-25,30.150973
1993-08-26,30.171313
1993-08-27,30.150973
1993-08-30,30.273207
1993-08-31,30.354696
1993-09-01,30.313951
1993-09-02,30.212057
1993-09-03,30.232462
1993-09-07,30.028739
1993-09-08,29.926846
1993-09-09,29.987995
1993-09-10,30.252802
1993-09-13,30.273207
1993-09-14,30.150973
1993-09-15,30.232462
1993-09-16,30.110228
1993-09-17,30.051849
1993-09-20,29.805858
1993-09-21,29.703329
1993-09-22,29.94932
1993-09-23,30.113314
1993-09-24,30.031317
1993-09-27,30.359304
1993-09-28,30.297839
1993-09-29,30.19531
1993-09-30,30.133845
1993-10-01,30.277307
1993-10-04,30.318306
1993-10-05,30.277307
1993-10-06,30.256841
1993-10-07,30.174844
1993-10-08,30.215842
1993-10-11,30.277307
1993-10-12,30.318306
1993-10-13,30.318306
1993-10-14,30.707823
1993-10-15,30.871817
1993-10-18,30.78982
1993-10-19,30.564296
1993-10-20,30.605295
1993-10-21,30.564296
1993-10-22,30.420834
1993-10-25,30.502831
1993-10-26,30.482299
1993-10-27,30.502831
1993-10-28,30.72829
1993-10-29,30.72829
1993-11-01,30.810287
1993-11-02,30.78982
1993-11-03,30.400303
1993-11-04,30.072315
1993-11-05,30.215842
1993-11-08,30.256841
1993-11-09,30.277307
1993-11-10,30.502831
1993-11-11,30.420834
1993-11-12,30.564296
1993-11-15,30.54383
1993-11-16,30.687292
1993-11-17,30.523298
1993-11-18,30.441301
1993-11-19,30.379836
1993-11-22,30.19531
1993-11-23,30.359304
1993-11-24,30.482299
1993-11-26,30.502831
1993-11-29,30.379836
1993-11-30,30.400303
1993-12-01,30.441301
1993-12-02,30.523298
1993-12-03,30.646293
1993-12-06,30.748822
1993-12-07,30.72829
1993-12-08,30.72829
1993-12-09,30.625827
1993-12-10,30.564296
1993-12-13,30.748822
1993-12-14,30.523298
1993-12-15,30.482299
1993-12-16,30.584828
1993-12-17,30.752916
1993-12-20,30.794195
1993-12-21,30.690964
1993-12-22,30.89736
1993-12-23,30.876753
1993-12-27,31.041869
1993-12-28,31.103755
1993-12-29,31.062476
1993-12-30,30.938639
1993-12-31,30.773522
1994-01-03,30.690964
1994-01-04,30.814801
1994-01-05,30.876753
1994-01-06,30.876753
1994-01-07,31.062476
1994-01-10,31.433988
1994-01-11,31.372102
1994-01-12,31.268871
1994-01-13,31.186313
1994-01-14,31.31015
1994-01-17,31.31015
1994-01-18,31.351429
1994-01-19,31.268871
1994-01-20,31.351429
1994-01-21,31.289544
1994-01-24,31.165706
1994-01-25,31.165706
1994-01-26,31.248265
1994-01-27,31.537218
1994-01-28,31.619776
1994-01-31,31.846778
1994-02-01,31.681662
1994-02-02,31.888058
1994-02-03,31.743613
1994-02-04,31.021197
1994-02-07,31.165706
1994-02-08,31.186313
1994-02-09,31.31015
1994-02-10,31.041869
1994-02-11,31.145034
1994-02-14,31.186313
1994-02-15,31.351429
1994-02-16,31.330823
1994-02-17,31.145034
1994-02-18,30.959311
1994-02-22,31.268871
1994-02-23,31.186313
1994-02-24,30.773522
1994-02-25,30.918032
1994-02-28,30.918032
1994-03-01,30.794195
1994-03-02,30.835474
1994-03-03,30.752916
1994-03-04,30.835474
1994-03-07,31.00059
1994-03-08,30.876753
1994-03-09,31.021197
1994-03-10,30.773522
1994-03-11,30.938639
1994-03-14,30.979918
1994-03-15,30.959311
1994-03-16,31.206985
1994-03-17,31.206985
1994-03-18,31.200144
1994-03-21,31.11711
1994-03-22,31.200144
1994-03-23,31.179419
1994-03-24,30.805764
1994-03-25,30.515143
1994-03-28,30.556661
1994-03-29,29.954628
1994-03-30,29.539456
1994-03-31,29.622491
1994-04-04,29.165801
1994-04-05,29.767834
1994-04-06,29.767834
1994-04-07,29.913111
1994-04-08,29.684799
1994-04-11,29.809351
1994-04-12,29.767834
1994-04-13,29.612126
1994-04-14,29.622491
1994-04-15,29.622491
1994-04-18,29.425266
1994-04-19,29.466783
1994-04-20,29.435696
1994-04-21,29.830077
1994-04-22,29.798921
1994-04-25,30.110333
1994-04-26,30.07918
